name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Eesti,2021-09-01T00:00:00,15.9,15.9,12,77.32,0,0,,0,0,50.4,14.8,320,1013,80.8,10.4,0,0,0,,Partially cloudy,partly-cloudy-night,"26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-09-01T01:00:00,15,15,11,77.17,0,0,,0,0,50.4,13.1,340,1013,50.4,10.4,0,0,0,,Partially cloudy,partly-cloudy-night,"26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-09-01T02:00:00,14,14,10,77.01,0,0,,0,0,50.4,14.8,340,1013,89.3,10.5,0,0,0,,Partially cloudy,partly-cloudy-night,"26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-09-01T03:00:00,14,14,10,76.99,0,0,,0,0,50.4,13,340,1013,89.2,10.5,0,0,0,,Partially cloudy,partly-cloudy-night,"26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-09-01T04:00:00,13,13,10,82.17,0,0,,0,0,50.4,9.5,330,1013,28.4,10.5,0,0,0,,Partially cloudy,partly-cloudy-night,"26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-09-01T05:00:00,13,13,10,82.23,0,0,,0,0,43.2,13,320,1013,6.9,10.5,0,0,0,,Clear,clear-night,"26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-09-01T06:00:00,13,13,11,87.75,0,0,,0,0,43.2,14.7,320,1012,28.5,10.5,1,0,0,,Partially cloudy,partly-cloudy-night,"26135099999,26038099999,EETN,F5447,26029099999,26134099999,26124099999"
Eesti,2021-09-01T07:00:00,13,13,10,82.2,0,0,,0,0,46.8,13,310,1012,49.5,10.5,20,0.1,0,,Partially cloudy,partly-cloudy-day,"D8937,26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-09-01T08:00:00,13,13,10,82.16,0,0,,0,0,46.8,9.6,330,1012,28.5,10.5,89,0.3,1,,Partially cloudy,partly-cloudy-day,"D8937,26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
Eesti,2021-09-01T09:00:00,13,13,10,82.03,0,0,,0,0,50.4,14.9,340,1012,28.7,10.5,146,0.5,1,,Partially cloudy,partly-cloudy-day,"D8937,26135099999,26038099999,EETN,26029099999,26134099999,26124099999"
