name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"alesund, norway",2020-01-01T00:00:00,8.3,3.1,3.2,70.31,0,0,,0,0.27,76.7,53.1,219,1014.6,60.2,10,0,0,0,,Partially cloudy,wind,"01210099999,01209099999,ENAL,01218099999,01224099999,01321099999"
"alesund, norway",2020-01-01T01:00:00,8.6,3.3,2.5,65.51,3.464,100,rain,0,0.27,29,56.4,219,1014.2,100,10,0,0,0,,"Rain, Overcast",rain,"01210099999,ENAL,01218099999,01224099999,01321099999"
"alesund, norway",2020-01-01T02:00:00,8.6,3.4,2.3,64.65,0,0,,0,0.26,78.1,54.9,240,1014.4,94.5,10,0,0,0,,Overcast,wind,"01210099999,01209099999,ENAL,01218099999,01224099999,01321099999"
"alesund, norway",2020-01-01T03:00:00,8.6,3.7,1.8,62.18,0,0,,0,0.26,72.4,47.8,225,1013.5,94.5,10,0,0,0,,Overcast,cloudy,"01210099999,01209099999,ENAL,01218099999,01224099999,01321099999"
"alesund, norway",2020-01-01T04:00:00,8,2.8,2.2,66.61,0,0,,0,0.25,75.2,51.1,234,1014.4,65.6,10,0,0,0,,Partially cloudy,wind,"01210099999,01209099999,ENAL,01218099999,01224099999,01321099999"
"alesund, norway",2020-01-01T05:00:00,7.8,2.9,2.8,70.91,0,0,,0,0.25,73.8,42.8,225,1013.4,94.5,10,0,0,0,,Overcast,cloudy,"01210099999,01209099999,ENAL,01218099999,01224099999,01321099999"
"alesund, norway",2020-01-01T06:00:00,8.1,3.1,2.5,67.9,0,0,,0,0.24,71.6,44.4,222,1012.4,94.5,10,0,0,0,,Overcast,cloudy,"01210099999,01209099999,ENAL,01218099999,01224099999,01321099999"
"alesund, norway",2020-01-01T07:00:00,8.2,3.4,2.5,67.09,0,0,,0,0.24,60.9,43.8,219,1012.3,94.5,10,0,0,0,,Overcast,cloudy,"01210099999,01209099999,ENAL,01218099999,01224099999,01321099999"
"alesund, norway",2020-01-01T08:00:00,8,3.4,2.7,68.8,0,0,,0,0.23,69.8,39.8,223,1012.4,100,10,0,0,0,,Overcast,cloudy,"01210099999,01209099999,ENAL,01218099999,01224099999,01321099999"
"alesund, norway",2020-01-01T09:00:00,8.5,3.8,2.5,65.92,0.052,100,rain,0,0.22,66.6,43.8,226,1012.3,77,10,0,0,0,,"Rain, Partially cloudy",rain,"01210099999,01209099999,ENAL,01218099999,01224099999,01321099999"
"alesund, norway",2020-01-01T10:00:00,8.6,3.9,2.5,65.51,0.052,100,rain,0,0.21,69.5,43.4,215,1010.6,71.6,10,0,0,0,,"Rain, Partially cloudy",rain,"01210099999,01209099999,ENAL,01218099999,01224099999,01321099999"
"alesund, norway",2020-01-01T11:00:00,9.6,5,1.5,57.05,0,0,,0,0.2,71.3,48.7,230,1010.4,27.7,10,2.6,0,0,,Partially cloudy,wind,"01210099999,01209099999,ENAL,01218099999,01224099999,01321099999"
"alesund, norway",2020-01-01T12:00:00,10,10,1.8,56.75,0,0,,0,0.19,76,50.3,220,1009.5,100,10,6,0,0,,Overcast,wind,"01210099999,01209099999,ENAL,E1600,01218099999,01224099999,01321099999"
"alesund, norway",2020-01-01T13:00:00,9.6,4.7,2.5,61.21,0,0,,0,0.18,80.9,54.6,222,1009.4,89.1,10,6,0,0,,Partially cloudy,wind,"01210099999,01209099999,ENAL,E1600,01218099999,01224099999,01321099999"
"alesund, norway",2020-01-01T14:00:00,9.6,5.2,1.7,57.74,0,0,,0,0.17,70.6,44.4,210,1008.5,89.1,10,5,0,0,,Partially cloudy,partly-cloudy-day,"01210099999,01209099999,ENAL,E1600,01218099999,01224099999,01321099999"
"alesund, norway",2020-01-01T15:00:00,9.6,5.5,1.9,58.92,0.522,100,rain,0,0.16,63,38.4,209,1007.5,89.1,10,5,0,0,,"Rain, Partially cloudy",rain,"01210099999,01209099999,ENAL,E1600,01218099999,01224099999,01321099999"
"alesund, norway",2020-01-01T16:00:00,9.3,4.9,2.3,61.55,1.043,100,rain,0,0.16,77.8,43.8,200,1006.5,89.1,9,0,0,0,,"Rain, Partially cloudy",rain,"01210099999,01209099999,ENAL,01218099999,01224099999,01321099999"
"alesund, norway",2020-01-01T17:00:00,8.6,3.8,3.5,70.2,0.209,100,rain,0,0.15,68.4,45.4,207,1006.5,89.1,10,0,0,0,,"Rain, Partially cloudy",rain,"01210099999,01209099999,ENAL,01218099999,01224099999,01321099999"
"alesund, norway",2020-01-01T18:00:00,7.4,2.3,3.8,77.66,0.052,100,rain,0,0.14,64.8,43.4,217,1006.5,60.2,10,0,0,0,,"Rain, Partially cloudy",rain,"01210099999,01209099999,ENAL,01218099999,01224099999,01321099999"
"alesund, norway",2020-01-01T19:00:00,7.7,3.3,3.9,76.85,0,0,,0,0.13,58.8,33.1,214,1006.5,71.6,10,0,0,0,,Partially cloudy,partly-cloudy-night,"01210099999,01209099999,ENAL,01218099999,01224099999,01321099999"
"alesund, norway",2020-01-01T20:00:00,7.4,3.2,3.9,78.78,0.522,100,rain,0,0.12,55.4,29.6,213,1006.4,100,10,0,0,0,,"Rain, Overcast",rain,"01210099999,01209099999,ENAL,01218099999,01224099999,01321099999"
"alesund, norway",2020-01-01T21:00:00,7.2,3.3,3.7,78.24,0.313,100,rain,0,0.11,69.5,25.9,209,1006.4,89.1,10,0,0,0,,"Rain, Partially cloudy",rain,"01210099999,01209099999,ENAL,01218099999,01224099999,01321099999"
"alesund, norway",2020-01-01T22:00:00,8.1,4.6,3.3,71.64,0.365,100,rain,0,0.1,69.8,24.4,199,1005.4,60.2,10,0,0,0,,"Rain, Partially cloudy",rain,"01210099999,01209099999,ENAL,01218099999,01224099999,01321099999"
"alesund, norway",2020-01-01T23:00:00,8.3,3.8,3.3,70.76,0.152,100,rain,0,0.09,61.2,38,220,1004.4,60.2,10,0,0,0,,"Rain, Partially cloudy",rain,"01210099999,01209099999,ENAL,01218099999,01224099999,01321099999"
"alesund, norway",2020-01-02T00:00:00,8.9,4.6,3.3,67.76,0.104,100,rain,0,0.08,71.6,39.9,211,1002.5,77,10,0,0,0,,"Rain, Partially cloudy",rain,"01210099999,01209099999,ENAL,01218099999,01224099999,01321099999"
"alesund, norway",2020-01-02T01:00:00,9.3,5.7,2.9,64.45,0,0,,0,0.07,29.2,29.8,210,1001.4,89.1,10,0,0,0,,Partially cloudy,partly-cloudy-night,"01210099999,01209099999,ENAL,01218099999,01224099999,01321099999"
"alesund, norway",2020-01-02T02:00:00,11,11,2.8,56.7,0.104,100,rain,0,0.06,55.4,29.8,210,998.7,60.2,10,0,0,0,,"Rain, Partially cloudy",rain,"01210099999,01209099999,ENAL,01218099999,01224099999,01321099999"
"alesund, norway",2020-01-02T03:00:00,10.9,10.9,3.3,59.25,0,0,,0,0.05,64.8,40.4,206,997.7,71.6,10,0,0,0,,Partially cloudy,partly-cloudy-night,"01210099999,01209099999,ENAL,01218099999,01224099999,01321099999"
"alesund, norway",2020-01-02T04:00:00,11.8,11.8,3.4,56.25,0,0,,0,0.04,74.2,36.5,210,995.9,38.5,10,0,0,0,,Partially cloudy,partly-cloudy-night,"01210099999,01209099999,ENAL,01218099999,01224099999,01321099999"
"alesund, norway",2020-01-02T05:00:00,12.8,12.8,3.2,52.27,0.104,100,rain,0,0.03,68.4,43.9,225,994.7,27.7,10,0,0,0,,"Rain, Partially cloudy",rain,"01210099999,01209099999,ENAL,01218099999,01224099999,01321099999"
"alesund, norway",2020-01-02T06:00:00,12.6,12.6,1.8,47.97,0,0,,0,0.02,70.6,45.6,222,994.6,27.7,10,0,0,0,,Partially cloudy,partly-cloudy-night,"01210099999,01209099999,ENAL,01218099999,01224099999,01321099999"
"alesund, norway",2020-01-02T07:00:00,12.6,12.6,0.8,44.64,0,0,,0,0.01,67.8,47.7,212,992.8,0,10,0,0,0,,Clear,clear-night,"01210099999,01209099999,ENAL,01218099999,01224099999,01321099999"
"alesund, norway",2020-01-02T08:00:00,12.6,12.6,0.8,44.36,0,0,,0,0,72.4,49,224,992.8,0,10,0,0,0,,Clear,wind,"01210099999,01209099999,ENAL,01218099999,01224099999,01321099999"
"alesund, norway",2020-01-02T09:00:00,12.5,12.5,1,45.48,0,0,,0,0,81,47.3,222,992.6,93.3,10,0,0,0,,Overcast,cloudy,"01210099999,01209099999,ENAL,01218099999,01224099999,01321099999"
"alesund, norway",2020-01-02T10:00:00,11.8,11.8,1.3,48.69,0,0,,0,0,83.9,50.4,217,991.7,31.5,10,0,0,0,,Partially cloudy,wind,"01210099999,01209099999,ENAL,01218099999,01224099999,01321099999"
