name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
switzerland,2021-02-01T00:00:00,4.6,4.6,3,89.6,0.012,100,rain,0,0.6,11.9,3.4,239,996.1,96.8,,0,0,0,,"Rain, Overcast",rain,"06635099999,06638099999,06606099999,06628099999,06631099999,06636099999"
switzerland,2021-02-01T01:00:00,4.5,4.5,3.2,91.72,1.826,100,rain,0,0.6,16.6,4.5,122,996.2,99.2,,0,0,0,,"Rain, Overcast",rain,"06635099999,06638099999,06606099999,06628099999,06631099999,06636099999"
switzerland,2021-02-01T02:00:00,4.5,3.2,3.4,92.37,2.143,100,rain,0,0.6,16.2,5.9,154,995.9,97,,0,0,0,,"Rain, Overcast",rain,"06635099999,06638099999,06606099999,06628099999,06631099999,06636099999"
switzerland,2021-02-01T03:00:00,4.5,2.6,3.3,91.98,0.573,100,rain,0,0.6,16.9,7.8,174,995.3,98.2,,0,0,0,,"Rain, Overcast",rain,"06635099999,06638099999,06606099999,06628099999,06631099999,06636099999"
switzerland,2021-02-01T04:00:00,4.2,2.8,2.9,91.25,0.119,100,rain,0,0.6,16.9,6,162,994.8,98,,0,0,0,,"Rain, Overcast",rain,"06635099999,06638099999,06606099999,06628099999,06631099999,06636099999"
switzerland,2021-02-01T05:00:00,4.5,3.5,3,90.19,0.31,100,rain,0,0.6,29.2,5,129,994.6,100,,0,0,0,,"Rain, Overcast",rain,"06635099999,06638099999,06606099999,06628099999,06631099999,06636099999"
switzerland,2021-02-01T06:00:00,4.5,2.9,2.8,89.16,0.115,100,rain,0,0.7,28.4,6.6,167,994.6,100,,0,0,0,,"Rain, Overcast",rain,"06635099999,06638099999,06606099999,06628099999,06631099999,06636099999"
switzerland,2021-02-01T07:00:00,4.5,3.4,3.3,91.94,0.819,100,rain,0,0.7,28.1,5.3,186,995,100,3,0,0,0,,"Rain, Overcast",rain,"06635099999,06638099999,06606099999,06628099999,06631099999,06636099999"
switzerland,2021-02-01T08:00:00,4.5,2.3,3.4,92.8,1.062,100,rain,0,0.7,33.8,8.9,134,995.4,100,,7,0,0,,"Rain, Overcast",rain,"06635099999,06638099999,06606099999,06628099999,06631099999,06636099999,E5758"
switzerland,2021-02-01T09:00:00,4.7,2.6,3.6,92.65,0.754,100,rain,0,0.7,29.2,8.8,185,996,100,,20,0.1,0,,"Rain, Overcast",rain,"06635099999,06638099999,06606099999,06628099999,06631099999,E1213,06636099999"
